date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,requested_gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-03-04,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,139786.79927415907,135977.29589588603,0.028015731252589954,0.029999999999999999,6.5190902000031201,180930,89856,381758,174592,83284,350599,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-04.json
2025-03-05,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,93397.566618202749,90847.190559812982,0.028073251827315699,0.029999999999999999,4.321273999998084,125199,62208,264249,120934,57700,244435,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-05.json
2025-03-05,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,109859.0735939913,107562.60188069155,0.021350094485878962,0.029999999999999999,6.1534604000007675,180930,89856,381758,172188,80880,341559,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-05.json
2025-03-06,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,62269.284321055282,60751.828598605025,0.024977943173962347,0.029999999999999999,3.648387700002786,125199,62208,264249,118154,54920,233997,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-06.json
2025-03-06,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,79550.144074513853,78257.297472355276,0.016520460633275523,0.029999999999999999,5.3808285000013711,180930,89856,381758,169656,78348,331992,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-06.json
2025-03-07,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,32599.250438939882,31693.646259283723,0.028573682316243066,0.029999999999999999,3.7922807999966608,125199,62208,264249,115279,52018,223888,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-07.json
2025-03-07,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,80685.895898046889,78578.789597038311,0.026815204354942068,0.029999999999999999,5.7136368999999831,180930,89856,381758,169782,78448,333155,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-07.json
2025-03-08,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,61719.948160846667,59993.141930557846,0.028783393813372901,0.029999999999999999,3.3423564999975497,125199,62208,264249,118171,54910,234747,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-08.json
2025-03-08,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,110467.72661781112,107303.18863026665,0.029491555916837428,0.029999999999999999,6.5327483999972173,180930,89856,381758,172506,81172,343391,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-08.json
2025-03-09,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,88309.032859185594,86011.233389070592,0.026715108940723344,0.029999999999999999,4.254041000000143,125199,62208,264249,120726,57492,243651,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs\q2\dispatch_runs\20260912_tail_reserve_final\processed\main\daily_audit\2025-03-09.json
