job,date,budget,K,M,S,seconds,solver,reliable,gap,time_limit,binary,constraints,audit,audit_sha256
window_56,2025-02-10,original,3,24,24,5.735439416,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00902503837974,,72576,290304,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-10.json,a8113bf2e7528c3be8e9322d6207d946e7efb0659e22fb09d6ace1978a8140d8
window_56,2025-02-11,original,1,27,27,1.699457875,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0094234029011,,27216,108864,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-11.json,c53a3bec9bedd71e176e74e6a02d0d22d43f6b24fe89c6469e89470fbe544289
window_56,2025-02-11,original,2,26,26,4.210526541,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00963556468335,,52416,209664,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-11.json,c53a3bec9bedd71e176e74e6a02d0d22d43f6b24fe89c6469e89470fbe544289
window_56,2025-02-11,original,3,25,25,5.825792417,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00979806767378,,75600,302400,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-11.json,c53a3bec9bedd71e176e74e6a02d0d22d43f6b24fe89c6469e89470fbe544289
window_56,2025-02-12,original,1,28,28,2.170023791,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00707455752271,,28224,112896,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-12.json,61640e2fb99b5a4c93ea6136864f3869cb2c7fdb68e46c715e0fc0c3ecd2c17f
window_56,2025-02-12,original,2,27,27,3.951684667,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00907740996573,,54432,217728,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-12.json,61640e2fb99b5a4c93ea6136864f3869cb2c7fdb68e46c715e0fc0c3ecd2c17f
window_56,2025-02-12,original,3,26,26,6.368648,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00873551397953,,78624,314496,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-12.json,61640e2fb99b5a4c93ea6136864f3869cb2c7fdb68e46c715e0fc0c3ecd2c17f
window_56,2025-02-13,original,1,29,29,2.170161958,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00861428738179,,29232,116928,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-13.json,8e499b334951ea0b3851b5dbf8e1e0e1725097ca11ac5e44f4db6af9925a84d2
window_56,2025-02-13,original,2,28,28,3.905579708,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00909219623793,,56448,225792,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-13.json,8e499b334951ea0b3851b5dbf8e1e0e1725097ca11ac5e44f4db6af9925a84d2
window_56,2025-02-13,original,3,27,27,5.985558041,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00908127442767,,81648,326592,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-13.json,8e499b334951ea0b3851b5dbf8e1e0e1725097ca11ac5e44f4db6af9925a84d2
window_56,2025-02-14,original,1,30,30,2.196552458,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00973427911977,,30240,120960,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-14.json,706390d9d520f422fd4db744e9caa2ad50aa6c7b4d1f306ec7e602873137376b
window_56,2025-02-14,original,2,29,29,3.842403291,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0099599388871,,58464,233856,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-14.json,706390d9d520f422fd4db744e9caa2ad50aa6c7b4d1f306ec7e602873137376b
window_56,2025-02-14,original,3,28,28,6.163249,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00998772680436,,84672,338688,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-14.json,706390d9d520f422fd4db744e9caa2ad50aa6c7b4d1f306ec7e602873137376b
window_56,2025-02-15,original,1,31,31,1.849042334,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00911991775138,,31248,124992,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-15.json,cd06f4c70e6dcacec330a23b345de0db2e5d175b87b69e96f2c56bf8b151fe26
window_56,2025-02-15,original,2,30,30,5.223134583,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00977752690753,,60480,241920,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-15.json,cd06f4c70e6dcacec330a23b345de0db2e5d175b87b69e96f2c56bf8b151fe26
window_56,2025-02-15,original,3,29,29,7.818354125,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00991773311256,,87696,350784,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-15.json,cd06f4c70e6dcacec330a23b345de0db2e5d175b87b69e96f2c56bf8b151fe26
window_56,2025-02-16,original,1,32,32,2.118368208,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00963139488185,,32256,129024,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-16.json,c299247387bd8d4a6182f2605a35cd0adab040d3d55b43e7508a8a0097d8b201
window_56,2025-02-16,original,2,31,31,5.358386167,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00984493310392,,62496,249984,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-16.json,c299247387bd8d4a6182f2605a35cd0adab040d3d55b43e7508a8a0097d8b201
window_56,2025-02-16,original,3,30,30,9.433988209,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00927954912437,,90720,362880,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-16.json,c299247387bd8d4a6182f2605a35cd0adab040d3d55b43e7508a8a0097d8b201
window_56,2025-02-17,original,1,33,33,2.67985175,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00804607212651,,33264,133056,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-17.json,39fd541f9c967a15f2ab7f55eb45f5ed4976b773f95cf9ecd81d0caa0e7abbf4
window_56,2025-02-17,original,2,32,32,5.85442125,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00946054616266,,64512,258048,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-17.json,39fd541f9c967a15f2ab7f55eb45f5ed4976b773f95cf9ecd81d0caa0e7abbf4
window_56,2025-02-17,original,3,31,31,9.718787666,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00984581232423,,93744,374976,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-17.json,39fd541f9c967a15f2ab7f55eb45f5ed4976b773f95cf9ecd81d0caa0e7abbf4
window_56,2025-02-18,original,1,34,34,3.072254833,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00793253735575,,34272,137088,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-18.json,54adae92b9e95006c8d6aeaef5f07ab51ea25f08403a9f640e16b72c8247b23d
window_56,2025-02-18,original,2,33,33,6.172839208,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00957845538606,,66528,266112,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-18.json,54adae92b9e95006c8d6aeaef5f07ab51ea25f08403a9f640e16b72c8247b23d
window_56,2025-02-18,original,3,32,32,8.543080957,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00930731980858,,96768,387072,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-18.json,54adae92b9e95006c8d6aeaef5f07ab51ea25f08403a9f640e16b72c8247b23d
window_56,2025-02-19,original,1,35,35,2.413564,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0091572112968,,35280,141120,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-19.json,1d81bceede84383cc68fb30a8c8060eb0a1d9e71c1993247a4ed324972ddcb67
window_56,2025-02-19,original,2,34,34,6.298732625,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0096719070502,,68544,274176,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-19.json,1d81bceede84383cc68fb30a8c8060eb0a1d9e71c1993247a4ed324972ddcb67
window_56,2025-02-19,original,3,33,33,9.73250125,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0091909771093,,99792,399168,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-19.json,1d81bceede84383cc68fb30a8c8060eb0a1d9e71c1993247a4ed324972ddcb67
window_56,2025-02-20,original,1,36,36,2.948191916,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00870473815116,,36288,145152,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-20.json,dfdbc84f0031c019cc88d9dc59a4a5c7f9b17be774ebaca028e81c98a290aa70
window_56,2025-02-20,original,2,35,35,5.281969083,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00891409463678,,70560,282240,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-20.json,dfdbc84f0031c019cc88d9dc59a4a5c7f9b17be774ebaca028e81c98a290aa70
window_56,2025-02-20,original,3,34,34,7.50763175,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00758715259847,,102816,411264,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-20.json,dfdbc84f0031c019cc88d9dc59a4a5c7f9b17be774ebaca028e81c98a290aa70
window_56,2025-02-21,original,1,37,37,2.186420624,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00947259563452,,37296,149184,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-21.json,877571629414cd2df40ddd6159917ce4667f0a93e2d953fbb72372a51e1caa4c
window_56,2025-02-21,original,2,36,36,4.383136876,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00861487896444,,72576,290304,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-21.json,877571629414cd2df40ddd6159917ce4667f0a93e2d953fbb72372a51e1caa4c
window_56,2025-02-21,original,3,35,35,7.612909875,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00947351039014,,105840,423360,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-21.json,877571629414cd2df40ddd6159917ce4667f0a93e2d953fbb72372a51e1caa4c
window_56,2025-02-22,original,1,38,38,2.34215675,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00950885667471,,38304,153216,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-22.json,1375f9dac8f933fa8c5362cfe235c390a8b4f6cc6c6d77a31694be95b636ad83
window_56,2025-02-22,original,2,37,37,4.975648708,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00985471627329,,74592,298368,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-22.json,1375f9dac8f933fa8c5362cfe235c390a8b4f6cc6c6d77a31694be95b636ad83
window_56,2025-02-22,original,3,36,36,8.932182791,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00988936296011,,108864,435456,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-22.json,1375f9dac8f933fa8c5362cfe235c390a8b4f6cc6c6d77a31694be95b636ad83
window_56,2025-02-23,original,1,39,39,2.927002667,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00894575888712,,39312,157248,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-23.json,f1cdfd125a60d174067de6fd271110f5210a88f883536460e5b446ddc02ae895
window_56,2025-02-23,original,2,38,38,8.129489625,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00958392112617,,76608,306432,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-23.json,f1cdfd125a60d174067de6fd271110f5210a88f883536460e5b446ddc02ae895
window_56,2025-02-23,original,3,37,37,11.231461458,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00953275791576,,111888,447552,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-23.json,f1cdfd125a60d174067de6fd271110f5210a88f883536460e5b446ddc02ae895
window_56,2025-02-24,original,1,40,40,3.452087458,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00972247354236,,40320,161280,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-24.json,d583f5defd89675a449d565692984c71bd9062d932e2c09547f8e3aa73d9b4ab
window_56,2025-02-24,original,2,39,39,9.559602542,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.0093738732169,,78624,314496,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-24.json,d583f5defd89675a449d565692984c71bd9062d932e2c09547f8e3aa73d9b4ab
window_56,2025-02-24,original,3,38,38,15.261458833,SCIP_native_MILP_presolve_and_HiGHS_bound,True,0.00925812572805,,114912,459648,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-24.json,d583f5defd89675a449d565692984c71bd9062d932e2c09547f8e3aa73d9b4ab
window_56,2025-02-25,original,1,41,10,11.015561,SCIP,True,0.00448246472295,120,10080,40320,outputs/q2/dispatch_runs/20260911_224501/processed/experiments/window_56/daily_audit/2025-02-25.json,3ce58d92e4906bd6248bfe236b0ef8d0d9fc4bfc79ac85d066d5f672b21987c3
