date,total_cost,emergency,net_mae,peak_net,initial_soc,median_cost_distance
2025-05-31,18973.793686093446,241.37949389529098,42.62380236741425,698.5183333333332,3710.4695272318663,24505.271496739686
2025-06-01,107657.670912596,12344.945096906928,135.67930602398943,940.8914333333332,9457.623025579944,64178.60572976287
2025-06-02,85389.0327737825,8467.00959270915,109.23241396247263,947.8334499999999,7024.973999184445,41909.96759094937
2025-06-03,74489.40007764706,5556.685395491333,72.58474517928434,970.4444166666665,6870.06298465135,31010.334894813932
2025-06-04,63535.26501596717,3676.979991639934,64.67550056769579,980.5486999999999,7308.515962880169,20056.199833134036
2025-06-05,56661.384376579146,2626.372097311118,60.17392881372322,936.1002,7566.360796714245,13182.319193746014
2025-06-06,38066.39886297827,3901.992793963356,113.86748112800849,662.1683333333333,2132.183762809063,5412.666319854863
2025-06-07,31747.9404955252,1591.7567123657934,91.91344949655297,695.8816666666667,2698.9547769935853,11731.124687307933
2025-06-08,54455.16482897027,0.8596653105075677,54.728877872974046,968.5318333333332,8174.15741439942,10976.09964613714
2025-06-09,56023.26749646063,56.71740606243513,42.291434528878405,1034.5190833333331,9620.673060064875,12544.202313627495
2025-06-10,58446.22138526427,17.031817696440235,35.07290634036705,980.40825,9933.132852207083,14967.156202431135
2025-06-11,58825.73063856734,0.0,49.3815553850589,958.5368166666667,9978.109063641316,15346.665455734204
2025-06-12,56763.771604760776,0.0,32.805417792365574,981.7150166666667,10113.91160161409,13284.706421927644
2025-06-13,26480.820453147502,0.0,45.66948137462938,668.1805333333333,7939.609223923513,16998.24472968563
2025-06-14,29001.469614934547,0.0,37.654933483676146,676.3885666666666,7663.2793367185295,14477.595567898585
2025-06-15,59049.628576675204,10.832277517910256,37.85130906702517,954.9042833333333,10124.613581797583,15570.563393842072
2025-06-16,59504.39047776228,13.076511555383767,34.42764060414971,917.5341833333333,10191.317700313972,16025.32529492915
2025-06-17,59102.6932452587,27.36011696643396,42.36713561765579,935.01,10134.045210622113,15623.628062425567
2025-06-18,59444.696413531536,5.288884659088808,34.95579860596899,943.1491499999998,9819.187622971222,15965.631230698404
2025-06-19,56541.59093763167,0.0,48.983249412192116,976.6004666666665,10005.297686184596,13062.525754798538
2025-06-20,25295.71735856039,0.0,40.071788850903616,660.295,7871.005722567976,18183.347824272743
2025-06-21,27013.069481242826,0.0,60.65988753792098,667.4907,7375.085984946533,16465.995701590306
2025-06-22,55406.363332517,49.79906563514303,46.115435447177795,953.6933,10517.1060778712,11927.29814968387
2025-06-23,57029.60759294833,26.948394627819248,40.87045647832939,952.5582499999998,9622.693081540605,13550.542410115195
2025-06-24,59774.841124096434,630.8906493611535,67.05694103825024,962.8057,9933.640284586354,16295.775941263302
2025-06-25,56573.24484691225,0.0,39.45162521970888,917.9914999999999,10011.353219703533,13094.179664079114
2025-06-26,54143.49918373837,0.0,41.30965713886205,931.2700499999999,10054.079860749967,10664.43400090524
2025-06-27,24072.92191332759,0.0,39.99538659683149,656.8249999999999,6721.421434881339,19406.14326950554
2025-06-28,25973.07439470768,29.691758947041407,46.21165875928595,691.9833333333332,6942.5879329358295,17505.99078812545
2025-06-29,56167.04497282096,97.02489115106,45.328967703508646,931.1088,10244.012402990815,12687.979789987825
2025-06-30,54545.31713829588,110.77065142738525,41.554114089120255,931.4082666666666,10243.855155173342,11066.25195546275
2025-07-01,64073.5516315744,2715.237300453169,77.48969985316052,1027.2407333333333,9644.488717744312,20594.48644874127
2025-07-02,62450.90481796217,1713.8871876775816,91.26175296261418,1046.3866666666665,7385.709889262657,18971.839635129036
2025-07-03,57641.08390491203,711.2116637606489,54.58846613057892,1059.0882333333334,7713.6446064312695,14162.018722078901
2025-07-04,37275.99514361082,3632.0568847908985,95.6679992666356,779.2083333333333,2105.2171130733104,6203.070039222315
2025-07-05,34120.778068205625,1615.6449257440845,81.04165350730312,773.8133333333333,2705.4129355302653,9358.287114627507
2025-07-06,83635.16512346585,6547.2139106767245,94.35199422551261,1056.4970666666666,7890.26930653632,40156.09994063272
2025-07-07,56727.14922703436,143.49468619467785,48.97536837390085,1039.84325,7515.758906858072,13248.084044201227
2025-07-08,59030.13087281728,165.02213321270975,52.14172663060193,1067.2120333333332,9677.855515789379,15551.065689984149
2025-07-09,58471.376499923266,16.736825284245185,40.05582973963221,1070.4358166666666,10800.0,14992.311317090134
2025-07-10,55599.22051053459,24.878906169719144,42.64100314325308,1042.9233333333332,10800.0,12120.155327701461
2025-07-11,31555.188707121513,0.0,68.68887613748008,774.41,5786.578155041907,11923.876475711619
2025-07-12,32575.292807344737,7.937679941242678,41.4709115979391,761.8116666666666,6087.0715824044755,10903.772375488395
2025-07-13,56394.42191753877,0.0,46.0563826894893,1025.9231333333332,10253.037551649471,12915.356734705638
2025-07-14,55789.044785869984,0.0,32.62321645733189,1018.2992999999999,10800.0,12309.979603036852
2025-07-15,56108.61699090185,0.0,57.41658149182644,1029.8370833333333,10690.12332221074,12629.551808068718
2025-07-16,55866.03202997722,14.352385716259755,50.46350573059165,1060.3145,10526.33972651372,12386.96684714409
2025-07-17,53976.10583355676,49.59031652850764,45.2403614977761,1032.1136833333333,10403.70165230598,10497.040650723626
2025-07-18,29457.1374567112,0.0,54.10285578860986,742.0443499999999,5927.904340669976,14021.927726121932
2025-07-19,31988.741699644608,0.0,34.77124314875659,811.3433333333334,5510.690142157608,11490.323483188524
2025-07-20,55182.55792765531,0.0,38.74577743435014,1043.1080499999998,10296.157766773698,11703.492744822179
2025-07-21,55348.937489665,12.822426841462136,39.040683338149776,1065.5418666666667,10800.0,11869.872306831865
2025-07-22,56875.364869142904,255.03484490047143,45.611542432131074,1008.54,10800.0,13396.299686309772
2025-07-23,56133.229641722304,34.7729436043027,37.715325624553884,1036.7010999999998,10676.73069540274,12654.164458889172
2025-07-24,53868.48431010853,192.16249214616735,49.39303271789575,995.99905,10800.0,10389.419127275396
2025-07-25,28835.587054240394,10.676120711003783,36.89815342526292,740.3649999999999,5638.267266570505,14643.478128592738
2025-07-26,32349.499432400327,3.433013831510152,41.31625372464512,775.2533333333333,5446.645869426204,11129.565750432805
