date,path,n,absolute_error_sum_kw,squared_error_sum_kw2,econ_loss_sum
2025-06-04,separate_strong_baselines,144,81399.976485714287,71262527.954981238,30933.527508838568
2025-06-05,direct_net_week,144,102798.93789999999,119349564.91395757,40241.502598383333
2025-06-05,separate_strong_baselines,144,78933.231114285707,61221917.618046917,34334.642647654757
2025-06-06,direct_net_week,144,146811.5166,249218838.9215374,29834.249529803332
2025-06-06,separate_strong_baselines,144,105061.52247142859,115691266.55183345,29383.681308493091
2025-06-07,direct_net_week,144,137787.37450000001,210587951.80273485,26593.484362081665
2025-06-07,separate_strong_baselines,144,92274.360057142869,83050900.435610771,23439.671746023094
2025-06-08,direct_net_week,144,60834.004999999997,70756805.523685589,9855.935822538333
2025-06-08,separate_strong_baselines,144,50797.158485714273,43941857.869466051,7294.0690329019026
2025-06-09,direct_net_week,144,42302.990900000004,29774004.970333971,9194.3600830550022
2025-06-09,separate_strong_baselines,144,35583.255085714292,14330420.234317122,10000.322166076432
2025-06-10,direct_net_week,144,47994.968000000001,29848578.502042439,12899.375464801667
2025-06-10,separate_strong_baselines,144,32286.909314285716,11697980.881710676,9737.8313062778561
2025-06-11,direct_net_week,144,55156.243199999997,44798039.757730767,27042.307081763331
2025-06-11,separate_strong_baselines,144,44498.649671428568,28953944.152841344,20529.777533204997
2025-06-12,direct_net_week,144,39128.294900000001,19562134.020925008,11903.046891390002
2025-06-12,separate_strong_baselines,144,31999.537271428566,12240190.102096684,9491.147464880476
2025-06-13,direct_net_week,144,50460.836199999991,33869589.0626055,5253.3031581083324
2025-06-13,separate_strong_baselines,144,41926.121299999999,24532839.334405303,4611.4502576183313
2025-06-14,direct_net_week,144,47790.515899999999,37841465.748852573,4328.7927487249999
2025-06-14,separate_strong_baselines,144,32695.633271428575,13382582.365771964,3844.6734006288116
2025-06-15,direct_net_week,144,61200.854399999989,57545816.457230166,20265.785917814999
2025-06-15,separate_strong_baselines,144,36331.55981428572,15905246.921787251,9490.1367900659552
2025-06-16,direct_net_week,144,45397.732900000003,29256089.910848558,14107.846384241671
2025-06-16,separate_strong_baselines,144,33286.28428571429,14548296.789938511,9550.1328772845245
2025-06-17,direct_net_week,144,46565.469700000001,40008877.188538946,16444.083429080001
2025-06-17,separate_strong_baselines,144,39704.127185714286,26678717.732477859,14739.645750354288
2025-06-18,direct_net_week,144,47368.532899999991,34552060.629526652,7698.883385903333
2025-06-18,separate_strong_baselines,144,34751.262085714276,16184537.024447976,7050.1458970219055
2025-06-19,direct_net_week,144,47746.710799999993,34636151.424398534,9224.5313771399997
2025-06-19,separate_strong_baselines,144,47417.413271428566,33452693.428414796,8755.4068201183309
2025-06-20,direct_net_week,144,51482.128899999996,34143775.330993295,4274.4872770733318
2025-06-20,separate_strong_baselines,144,36920.590514285708,13626151.398762207,4181.7964269785698
2025-06-21,direct_net_week,144,62443.912300000011,63856746.189009726,4795.9174454483327
2025-06-21,separate_strong_baselines,144,53592.437028571432,45860389.808179975,4450.2271890873817
2025-06-22,direct_net_week,144,43149.709999999999,27131730.420581363,8896.2031384383354
2025-06-22,separate_strong_baselines,144,42441.403571428571,21845039.64244958,9394.3606777676177
2025-06-23,direct_net_week,144,49672.04770000001,30490225.870178476,7782.2674269999989
2025-06-23,separate_strong_baselines,144,39621.493457142846,19287116.003007479,7798.8627921757097
2025-06-24,direct_net_week,144,53179.585800000008,40673763.008757539,19511.412288686668
2025-06-24,separate_strong_baselines,144,60424.686900000015,50286354.238919705,24776.350659206189
2025-06-25,direct_net_week,144,43402.427800000005,24803589.645955861,12765.939409336663
2025-06-25,separate_strong_baselines,144,39017.998599999999,24749242.324467096,10830.241416186189
2025-06-26,direct_net_week,144,46824.887199999997,32023344.127213631,9754.37807652833
2025-06-26,separate_strong_baselines,144,40989.436028571428,20711182.801386744,9823.3206161123817
2025-06-27,direct_net_week,144,37943.206300000005,20739354.051586557,4583.1290068766648
2025-06-27,separate_strong_baselines,144,37291.541614285721,20825637.759375818,4075.5926487649995
2025-06-28,direct_net_week,144,42488.643700000001,20941350.218614712,6857.1058423533341
2025-06-28,separate_strong_baselines,144,43172.119471428567,24633519.19160473,5940.6010575759537
2025-06-29,direct_net_week,144,50918.113799999999,35655794.986057624,17488.310630489999
2025-06-29,separate_strong_baselines,144,40855.578314285711,22006729.886359721,9722.6900200147647
2025-06-30,direct_net_week,144,55654.522499999999,45180817.212658294,15156.878239709995
2025-06-30,separate_strong_baselines,144,40000.926071428563,21341654.935937852,10368.431590636901
2025-07-01,direct_net_week,144,81789.058300000004,62250542.924419232,26594.058544016661
2025-07-01,separate_strong_baselines,144,64108.504414285715,39743995.614665985,27216.316129228566
2025-07-02,direct_net_week,144,98600.110199999996,90001754.82252875,30606.200002154994
2025-07-02,separate_strong_baselines,144,80422.567742857136,55150807.503487289,28785.342314553563
2025-07-03,direct_net_week,144,89003.818599999999,70256052.581172377,37893.958676093331
2025-07-03,separate_strong_baselines,144,85458.536414285714,62959053.310646169,37679.443597275706
2025-07-04,direct_net_week,144,80879.816400000011,58727504.821832582,27867.463433346667
2025-07-04,separate_strong_baselines,144,86071.985871428566,63345238.812455602,29524.910997170475
2025-07-05,direct_net_week,144,86629.439500000008,65980285.127308205,29277.175322335002
2025-07-05,separate_strong_baselines,144,80800.273942857137,57072966.732682571,31287.820545606664
2025-07-06,direct_net_week,144,95066.079900000012,79396277.032834321,40856.66716919333
2025-07-06,separate_strong_baselines,144,100765.05244285712,93086148.953727216,46449.891564653328
2025-07-07,direct_net_week,144,87109.363700000002,69745129.267535657,28415.482531166665
2025-07-07,separate_strong_baselines,144,75308.240357142859,52562002.343180165,29962.593035883332
2025-07-08,direct_net_week,144,53692.003499999999,42963442.152521074,11085.893507861663
2025-07-08,separate_strong_baselines,144,43882.116400000006,25524851.908883825,11073.129193350234
2025-07-09,direct_net_week,144,44403.223899999997,22184315.622142166,12918.306532888331
2025-07-09,separate_strong_baselines,144,40996.462914285708,20393295.503636189,9005.9979998092822
2025-07-10,direct_net_week,144,61926.532300000006,53386827.346074209,9097.9274919433319
2025-07-10,separate_strong_baselines,144,41145.258614285711,19340882.525129132,7472.8785694592834
2025-07-11,direct_net_week,144,58680.29069999999,55221148.890192509,5769.162425264999
2025-07-11,separate_strong_baselines,144,52894.837742857133,37349233.52995868,5098.7304220749984
2025-07-12,direct_net_week,144,41448.067600000002,25971847.410924204,4948.8935887149955
2025-07-12,separate_strong_baselines,144,34737.76345714285,15544364.490379833,4981.5652712219035
2025-07-13,direct_net_week,144,75188.990300000005,92596923.797232583,8924.7255473883306
2025-07-13,separate_strong_baselines,144,53514.615728571429,39433269.410768442,6445.3945612647585
2025-07-14,direct_net_week,144,37136.818300000006,17765268.028141912,8659.3630250450005
2025-07-14,separate_strong_baselines,144,36919.791042857149,17393979.163113981,6824.9519865697621
2025-07-15,direct_net_week,144,70221.292200000011,66700061.430744797,8014.9598885133355
2025-07-15,separate_strong_baselines,144,53478.182085714288,38044867.279130585,7148.1761314471441
2025-07-16,direct_net_week,144,44897.142200000002,25371802.688861657,9819.274338891666
2025-07-16,separate_strong_baselines,144,42729.416942857133,22259972.190906331,8767.1347235116627
2025-07-17,direct_net_week,144,37815.886899999998,15961924.272581983,10199.644532466664
2025-07-17,separate_strong_baselines,144,42197.280471428545,21204999.739063762,11496.917045342851
2025-07-18,direct_net_week,144,38981.031699999992,19777050.678246558,5004.6164803366664
2025-07-18,separate_strong_baselines,144,45300.466328571427,26702102.43953678,4703.3110603630957
2025-07-19,direct_net_week,144,37947.260699999999,19292329.890317831,4428.9927236200019
2025-07-19,separate_strong_baselines,144,32894.229328571426,13059915.673769824,4521.6476810602417
2025-07-20,direct_net_week,144,49976.0723,36359727.94042626,7294.8534780599966
2025-07-20,separate_strong_baselines,144,34044.713757142847,13755541.486150637,6784.4751984233299
2025-07-21,direct_net_week,144,47131.27800000002,27817459.404304624,11656.354987780005
2025-07-21,separate_strong_baselines,144,35400.671428571426,14702188.817509333,6969.8004878816682
2025-07-22,direct_net_week,144,48055.820200000002,32876921.235645451,10924.492025725001
2025-07-22,separate_strong_baselines,144,39350.099971428557,19705754.25595431,9178.3821117097596
2025-07-23,direct_net_week,144,49864.817199999998,31078568.012648687,13784.657068469996
2025-07-23,separate_strong_baselines,144,38607.194514285722,17187948.351072561,10064.888706073096
2025-07-24,direct_net_week,144,52198.610800000009,36579130.330945395,10746.39019643167
2025-07-24,separate_strong_baselines,144,44386.891471428578,25117492.161254231,9792.4917693023835
2025-07-25,direct_net_week,144,46123.674599999991,29072221.6902516,5108.6410831250023
2025-07-25,separate_strong_baselines,144,32136.327000000005,11696203.835636765,4717.568987102145
2025-07-26,direct_net_week,144,49634.767900000006,32021218.739610933,5260.2723570233338
2025-07-26,separate_strong_baselines,144,38347.659128571438,18297998.894538678,4329.4830865642871
2025-07-27,direct_net_week,144,44697.4899,29157823.113375254,14753.687381865
2025-07-27,separate_strong_baselines,144,39997.477457142857,21432436.859384838,12703.582107894283
2025-07-28,direct_net_week,144,42120.87569999999,20773845.480042968,12186.368662186662
2025-07-28,separate_strong_baselines,144,44907.984999999993,26222061.742426779,13369.707839411185
2025-07-29,direct_net_week,144,48836.700599999996,33118974.089512534,12688.359590239999
2025-07-29,separate_strong_baselines,144,42958.446385714284,24269600.986496076,9540.1843502647644
2025-07-30,direct_net_week,144,39991.400399999999,21889284.37210805,8580.9636360733311
2025-07-30,separate_strong_baselines,144,34904.453842857132,18428160.167442609,8393.592971290238
2025-07-31,direct_net_week,144,48809.20659999999,28957280.555760913,14820.396511783329
2025-07-31,separate_strong_baselines,144,34923.500499999995,13965080.889856037,10423.917611012135
2025-08-01,direct_net_week,144,48238.6734,32402245.34277647,4083.3491169833314
2025-08-01,separate_strong_baselines,144,58546.778699999995,46040331.259127788,4404.442444102142
2025-08-02,direct_net_week,144,58729.987199999996,61084350.295940667,4230.7911044066659
2025-08-02,separate_strong_baselines,144,57567.434728571425,48023420.665145069,4214.5679899842853
2025-08-03,direct_net_week,144,78312.146099999984,90240381.347892642,9133.8344296400028
2025-08-03,separate_strong_baselines,144,74566.662857142845,76033965.379530966,8357.3101406119058
2025-08-04,direct_net_week,144,86457.185099999973,107235224.32613909,8382.1849286316628
2025-08-04,separate_strong_baselines,144,49669.311199999989,30979309.0221783,6125.5902055157112
2025-08-05,direct_net_week,144,80466.863299999997,91872150.454672471,8561.9026127016659
2025-08-05,separate_strong_baselines,144,45345.138571428557,23452124.902778145,6695.4970429814266
2025-08-06,direct_net_week,144,64881.166100000002,55321170.767469719,9015.203624249998
2025-08-06,separate_strong_baselines,144,45841.523599999986,25116069.524210587,10497.415707893093
2025-08-07,direct_net_week,144,84000.375299999985,100775364.58311278,8018.1544211083328
2025-08-07,separate_strong_baselines,144,43120.550014285705,20923644.52308841,6447.19380746143
2025-08-08,direct_net_week,144,54517.009300000005,39010478.653243244,5951.9805356350016
2025-08-08,separate_strong_baselines,144,49679.668057142859,30697938.868637893,4805.6663291750028
2025-08-09,direct_net_week,144,42218.267399999997,20948659.203245301,5424.9727682450011
2025-08-09,separate_strong_baselines,144,36904.616857142857,15225335.485312171,5298.6117539045244
2025-08-10,direct_net_week,144,48697.491200000004,35904848.321104422,7418.9765270016687
2025-08-10,separate_strong_baselines,144,40993.931671428581,22256366.850108907,5002.34922256548
2025-08-11,direct_net_week,144,42272.607500000006,22467492.77083832,8952.3879275950003
2025-08-11,separate_strong_baselines,144,40317.635571428582,20642873.627796449,7789.5100204728551
2025-08-12,direct_net_week,144,41970.559899999993,21238521.830081373,11234.322287148334
2025-08-12,separate_strong_baselines,144,41953.483257142856,23130909.484583415,10261.690891458335
2025-08-13,direct_net_week,144,50924.546899999994,37688310.025895655,8302.9029453383337
2025-08-13,separate_strong_baselines,144,41493.68355714286,20975391.364375439,6385.0936679561919
2025-08-14,direct_net_week,144,46913.31519999999,25633797.344095372,11733.744482656663
2025-08-14,separate_strong_baselines,144,38384.863385714285,17349540.386673775,11148.381512519756
2025-08-15,direct_net_week,144,35425.494000000006,15640196.990323812,5333.7979360199988
2025-08-15,separate_strong_baselines,144,38320.245457142868,18669731.140072353,5496.0751309304769
2025-08-16,direct_net_week,144,38216.04080000001,21335500.089723408,4980.5752695983338
2025-08-16,separate_strong_baselines,144,37007.119114285713,19132706.200193103,4893.4537564273796
2025-08-17,direct_net_week,144,42729.170400000003,21726498.608033426,8871.8961414750011
2025-08-17,separate_strong_baselines,144,37573.507528571434,19226780.177677147,7637.3239520109528
2025-08-18,direct_net_week,144,47784.656900000002,30429950.268129833,9355.6760858233301
2025-08-18,separate_strong_baselines,144,40667.587942857135,21067245.056872286,9058.929697698808
2025-08-19,direct_net_week,144,43192.462999999989,25866113.679071635,7187.5866432483326
2025-08-19,separate_strong_baselines,144,33964.282257142848,12734323.114344355,6714.7095867421431
2025-08-20,direct_net_week,144,53178.291499999992,34406799.13290067,19484.772532444997
