date,K,M,S,initial_soc,final_soc,cost,emergency_kwh,computational_limited
2025-05-22,3,26,26,9272.389839446012,4081.1612606636663,34585.600065715698,1.7441923769959544,False
2025-05-23,2,27,27,4081.1612606636663,3702.7885457138218,14672.206691696068,1.869082751154167,False
2025-05-24,2,27,27,3702.7885457138218,9503.3943686506118,17906.226534459063,0,False
2025-05-25,3,26,26,9503.3943686506118,8911.483351068875,36471.275297114225,2.14098016445638,False
2025-05-26,3,26,26,8911.483351068875,9229.5929277984815,36934.75673429294,106.27720407492296,False
2025-05-27,2,27,27,9229.5929277984815,9350.116565584116,36792.331555549441,0,False
2025-05-28,3,26,26,9350.116565584116,9698.0904889435715,36715.069770495451,0,False
2025-05-29,2,27,27,9698.0904889435715,3034.1839193975688,32986.274663922835,9.5485815189284153,False
2025-05-30,2,27,27,3034.1839193975688,3038.558718325371,15158.264417391027,196.99182358434544,False
2025-05-31,2,27,27,3038.558718325371,8560.7698283993286,17520.874610638664,236.09330992256076,False
2025-06-01,2,27,27,8560.7698283993286,6879.8036024188759,119446.16621912981,14495.181716075862,False
2025-06-02,3,26,26,6879.8036024188759,6886.2909394059443,96566.416083140764,10432.047659020142,False
2025-06-03,3,26,26,6886.2909394059443,7129.0049546533073,78686.582494071932,6406.2451340431053,False
2025-06-04,3,26,26,7129.0049546533073,7272.660901312468,72348.264163352083,5111.8514230856263,False
2025-06-05,3,26,26,7272.660901312468,1416.5404115342249,66725.244618828088,4660.9951419987538,False
2025-06-06,3,26,26,1416.5404115342249,1912.966979807208,43806.717355062414,5805.7178650525248,False
2025-06-07,3,26,26,1912.966979807208,7748.6648726608655,34813.115803788751,2695.9736297074296,False
2025-06-08,3,26,26,7748.6648726608655,9430.4318247796582,50905.572327943635,25.694506711428911,False
2025-06-09,3,26,26,9430.4318247796582,9083.302900212153,51985.032743706455,90.988478730584347,False
2025-06-10,2,27,27,9083.302900212153,9546.1370928229189,54456.070956218631,35.693678980475163,False
2025-06-11,2,27,27,9546.1370928229189,9659.0969553895156,54835.308196874757,0,False
2025-06-12,2,27,27,9659.0969553895156,9008.8253701417198,56124.829290581256,0,False
2025-06-13,3,26,26,9008.8253701417198,9348.2297002616961,25928.775363040008,14.252092586134381,False
2025-06-14,3,26,26,9348.2297002616961,9756.2448384629297,26083.952766345279,17.251283328125265,False
2025-06-15,2,27,27,9756.2448384629297,9650.0617508382857,56777.300782710197,0,False
2025-06-16,2,27,27,9650.0617508382857,9716.9143786718978,57768.395409638237,34.07222457664227,False
2025-06-17,2,27,27,9716.9143786718978,9435.0364922173194,57739.134935959868,5.7985867021457125,False
2025-06-18,2,27,27,9435.0364922173194,9686.8300872313612,58522.715640707727,0,False
2025-06-19,3,26,26,9686.8300872313612,9611.2966195224453,58710.543271897783,0,False
2025-06-20,3,26,26,9611.2966195224453,9483.8139867028895,25929.502578632528,0,False
2025-06-21,3,26,26,9483.8139867028895,10167.080965214482,26127.659722897959,19.817091643060337,False
2025-06-22,2,27,27,10167.080965214482,9357.2568840161948,55674.738458138985,40.219794519621814,False
2025-06-23,2,27,27,9357.2568840161948,9579.242472206779,55724.009843771564,28.380664459424111,False
2025-06-24,2,27,27,9579.242472206779,9655.3554165183341,55528.607434603553,27.506019264632727,False
2025-06-25,2,27,27,9655.3554165183341,9634.9402223708785,55524.060533482472,27.640371289370563,False
2025-06-26,2,27,27,9634.9402223708785,8674.5839460795323,55555.325916213522,0,False
2025-06-27,3,26,26,8674.5839460795323,8374.1856408824351,23726.938913671387,0,False
2025-06-28,3,26,26,8374.1856408824351,10204.846785427208,23871.431101112135,92.540660113287046,False
2025-06-29,3,26,26,10204.846785427208,9573.6693253969497,54307.585206524258,111.22170570688934,False
2025-06-30,3,26,26,9573.6693253969497,9263.6179515050553,52746.435415154578,159.80929114641145,False
2025-07-01,3,26,26,9263.6179515050553,7221.875256012524,66805.432840444599,3534.667091232549,False
2025-07-02,3,26,26,7221.875256012524,7725.3492953483201,65374.904022197959,2393.4129090339875,False
2025-07-03,3,26,26,7725.3492953483201,2125.2574548650018,61666.966421334328,2003.678832283879,False
2025-07-04,3,26,26,2125.2574548650018,1413.912564670482,46777.321840007877,6374.9705955306235,False
2025-07-05,3,26,26,1413.912564670482,7065.8679733064528,47782.86309285168,5305.4309611764893,False
2025-07-06,3,26,26,7065.8679733064528,6952.674617603735,84451.103172940973,6600.8623867467049,False
2025-07-07,3,26,26,6952.674617603735,8307.9489868444598,53896.509252431926,147.71798671105347,False
2025-07-08,3,26,26,8307.9489868444598,10550.73682860171,56631.975454407395,226.03031822229525,False
2025-07-09,3,26,26,10550.73682860171,10325.794163350005,53617.869935744056,40.481206958010752,False
2025-07-10,3,26,26,10325.794163350005,5270.8470208874969,50337.917114298347,42.422044364129874,False
2025-07-11,2,27,27,5270.8470208874969,5082.943100811779,28189.055615800149,60.863691252977446,False
2025-07-12,3,26,26,5082.943100811779,9774.4170427203953,30516.604733184438,41.57922608938847,False
2025-07-13,3,26,26,9774.4170427203953,10790.359002885067,53145.583289189453,0,False
2025-07-14,2,27,27,10790.359002885067,9992.1067874724649,51725.719175446196,0,False
2025-07-15,2,27,27,9992.1067874724649,10292.675522438438,51967.714525248492,0,False
2025-07-16,3,26,26,10292.675522438438,9956.1452375305944,50782.570606440742,78.812683066867976,False
2025-07-17,2,27,27,9956.1452375305944,4567.6703985669219,48869.734278108983,181.16260715936127,False
2025-07-18,2,27,27,4567.6703985669219,4578.0881184210502,26736.469082086311,4.6317413549951851,False
2025-07-19,3,26,26,4578.0881184210502,9468.3314308091431,29460.411347423866,30.359049756317262,False
2025-07-20,3,26,26,9468.3314308091431,10038.803283052735,51561.939196921034,43.488531771660689,False
2025-07-21,2,27,27,10038.803283052735,9714.0924887671135,52348.957639244109,30.707606591715916,False
2025-07-22,2,27,27,9714.0924887671135,9798.3017072883231,53105.457822971468,295.88344368240217,False
2025-07-23,3,26,26,9798.3017072883231,7826.668179309152,54212.794699987011,623.26114837299269,False
2025-07-24,2,27,27,7826.668179309152,4734.8224840684952,49924.341294010781,90.568667522721768,False
2025-07-25,2,27,27,4734.8224840684952,4486.5273437875858,26209.447607689086,61.869724975984582,False
2025-07-26,2,27,27,4486.5273437875858,9200.794462168069,28663.333967960723,0,False
2025-07-27,2,27,27,9200.794462168069,9133.1310817913964,54122.774028215244,721.11523647323838,False
2025-07-28,3,26,26,9133.1310817913964,7565.5703057581204,63612.97473858684,1810.0348077523277,False
2025-07-29,3,26,26,7565.5703057581204,8593.7185221220971,53368.544357249164,5.9105032734521217,False
2025-07-30,2,27,27,8593.7185221220971,9324.9284091727477,53879.123115191825,0,False
2025-07-31,3,26,26,9324.9284091727477,4067.0539654944178,51112.275202798657,0,False
2025-08-01,3,26,26,4067.0539654944178,3485.4967317853057,24057.213335602995,76.583460170922308,False
2025-08-02,2,27,27,3485.4967317853057,7724.2945706202563,26177.441960643071,4.236970496712388,False
2025-08-03,2,27,27,7724.2945706202563,7474.5260085810996,50219.434725997671,10.293538263988808,False
2025-08-04,2,27,27,7474.5260085810996,8355.0927654612206,50098.999850500593,0,False
2025-08-05,2,27,27,8355.0927654612206,8365.7971508859118,49140.3823445374,4.198364700489492,False
2025-08-06,2,27,27,8365.7971508859118,7779.0547382865889,48600.583975000125,146.59063570952543,False
2025-08-07,2,27,27,7779.0547382865889,3064.4811365938922,45394.583214695151,12.823330590461069,False
2025-08-08,2,27,27,3064.4811365938922,2560.0567467279711,23292.427453935994,53.823310451211114,False
2025-08-09,2,27,27,2560.0567467279711,7962.1130613997357,25751.394766152946,60.295109680127894,False
2025-08-10,2,27,27,7962.1130613997357,8134.1567904452268,46436.286774971471,14.597766559959496,False
2025-08-11,2,27,27,8134.1567904452268,7977.7743099499494,46086.375357539975,38.146300354634491,False
2025-08-12,2,27,27,7977.7743099499494,7904.6655212069854,49924.308797999744,640.67445575069007,False
2025-08-13,2,27,27,7904.6655212069854,8397.7428899309052,45875.913944514468,80.500621049215809,False
2025-08-14,2,27,27,8397.7428899309052,2446.370945596062,43046.569885846671,135.96585679203088,False
2025-08-15,2,27,27,2446.370945596062,2277.2739244718032,24012.343653297859,400.96578725059521,False
2025-08-16,2,27,27,2277.2739244718032,7858.3216674130981,26304.91595629447,216.53837482536238,False
2025-08-17,2,27,27,7858.3216674130981,7805.5416698201834,44188.602767607983,59.818091069297452,False
2025-08-18,2,27,27,7805.5416698201834,8048.3171559007696,44581.721591935973,107.49684020320512,False
2025-08-19,2,27,27,8048.3171559007696,8179.7141619202903,44461.521764885889,89.053401943603717,False
2025-08-20,2,27,27,8179.7141619202903,7675.5708764738119,80355.18901127587,5761.7663700809744,False
2025-08-21,2,27,27,7675.5708764738119,2559.8574611034041,47807.046182685401,900.40120745055253,False
2025-08-22,2,27,27,2559.8574611034041,2354.1552001270929,27352.162717412477,824.99789968984646,False
2025-08-23,2,27,27,2354.1552001270929,7544.5875653110361,25668.48156433777,13.299440507613781,False
2025-08-24,3,26,26,7544.5875653110361,7791.4803259204991,45803.773334144731,154.8883092842581,False
2025-08-25,3,26,26,7791.4803259204991,7836.9185644971158,67058.478574705136,3211.4955211702659,False
2025-08-26,2,27,27,7836.9185644971158,8747.1552793370247,46920.865189905235,37.355029931300734,False
2025-08-27,3,26,26,8747.1552793370247,7862.9032618989195,46181.78479680029,43.679167175960444,False
2025-08-28,2,27,27,7862.9032618989195,3031.8462906703298,53083.153784101261,1336.5500209045172,False
2025-08-29,2,27,27,3031.8462906703298,3348.5155227657538,24611.656728728427,95.033479662812141,False
2025-08-30,2,27,27,3348.5155227657538,7789.9812849737136,26148.476494186962,26.180242968535822,False
2025-08-31,2,27,27,7789.9812849737136,8723.5339966005522,48850.505908424449,8.1720155111784791,False
2025-09-01,3,26,26,8723.5339966005522,10718.216099220854,47613.459558156777,0,False
2025-09-02,3,26,26,10718.216099220854,10444.836235738574,45279.416511976706,0,False
2025-09-03,2,27,27,10444.836235738574,10221.59427531763,44013.266634135682,0,False
2025-09-04,2,27,27,10221.59427531763,5580.8601214395694,40843.840416251696,0,False
2025-09-05,2,27,27,5580.8601214395694,6037.1390655376881,22045.945345996617,0,False
2025-09-06,2,27,27,6037.1390655376881,10587.981157964943,23828.114552762745,0,False
2025-09-07,2,27,27,10587.981157964943,9777.0074474550711,42615.35764865634,0,False
2025-09-08,2,27,27,9777.0074474550711,7685.3382432734179,39545.481408202664,210.07762916211328,False
2025-09-09,2,27,27,7685.3382432734179,7690.1862440962677,40413.20256442338,29.466064115620028,False
2025-09-10,3,26,26,7690.1862440962677,7848.4756251008748,48487.741188066713,1385.4533032190302,False
2025-09-11,2,27,27,7848.4756251008748,3410.2097093131806,37911.712259522159,0,False
2025-09-12,2,27,27,3410.2097093131806,3236.4828420250524,18324.386802454759,260.27227427599507,False
2025-09-13,2,27,27,3236.4828420250524,7760.7740192454085,19467.662588687512,7.0183892706392044,False
2025-09-14,2,27,27,7760.7740192454085,7427.0460448568756,40428.266804985207,116.12774046324445,False
