date,execution_budget,K,M,S,selected,status,reliable,objective_yuan,lower_bound_yuan,gap,seconds,continuous_before,binary_before,constraints_before,continuous_after,binary_after,constraints_after,solver,version,audit_file
2025-02-17,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,46701.872058665242,46479.01329631175,0.0047948255900513237,2.7955140419999225,52848,28224,112896,51072,26196,106218,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-17.json
2025-02-17,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,96109.70599680164,95504.007758707114,0.0063421237737460801,5.8265704589994129,101952,54432,217728,98513,50750,205246,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-17.json
2025-02-17,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,145175.48579776211,144254.19712275115,0.0063865640888563051,9.5353723339994758,147312,78624,314496,142286,73364,296476,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-17.json
2025-02-18,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,46144.419952965683,45911.622738753736,0.0050705507739643493,2.6647709579992807,52848,28224,112896,50976,26100,105882,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-18.json
2025-02-18,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,95166.666973282205,94615.272126391195,0.0058277573429629005,5.7347417500004667,101952,54432,217728,98393,50630,204826,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-18.json
2025-02-18,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,143555.6568888902,142629.25521976413,0.0064951728710821366,9.7374878750015341,147312,78624,314496,142054,73132,295664,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-18.json
2025-02-19,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,45841.598267805966,45608.848221225984,0.0051031774679120749,2.5651614159996825,52848,28224,112896,51020,26144,106036,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-19.json
2025-02-19,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,94490.041737308522,93875.24317465238,0.0065491022112435533,5.4114056660000642,101952,54432,217728,98365,50602,204728,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-19.json
2025-02-19,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,112721.44975464388,112089.89108400847,0.0056343945428769396,8.448003792000236,147312,78624,314496,139318,70396,286088,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-19.json
2025-02-20,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,45892.085575275356,45604.139349250574,0.0063140370618465329,2.894814667000901,52848,28224,112896,50920,26044,105686,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-20.json
2025-02-20,original,2,27,27,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,64191.357945183947,63838.486932544336,0.0055275591511508727,5.3860844589999033,101952,54432,217728,95381,47618,194284,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-20.json
2025-02-20,original,3,26,26,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,82213.571826448329,81837.720300398199,0.0045926441336648664,7.6273479580013372,147312,78624,314496,136362,67440,275742,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-20.json
2025-02-21,original,1,28,28,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,15961.579617978692,15843.587719355004,0.0074472967053759911,1.4784702920005657,52848,28224,112896,47924,23048,95200,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-21.json
2025-02-21,original,2,27,27,False,certified_by_feasible_policy_and_global_lp_lower_bound,True,34057.745451919756,33833.698931153209,0.0066219930969549159,3.0158142500004033,101952,54432,217728,92397,44634,183840,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-21.json
2025-02-21,original,3,26,26,True,certified_by_feasible_policy_and_global_lp_lower_bound,True,81247.136704651959,80785.151370135573,0.0057186912035318898,7.6381308749987511,147312,78624,314496,136142,67220,274972,SCIP_native_MILP_presolve_and_HiGHS_bound,10.0.2,outputs/q2/dispatch_runs/20260911_224501/processed/main/daily_audit/2025-02-21.json
